AAA, 26.55, 28.4, 24.7
AAM, 10.5, 11.2, 9.77
ABT, 36.85, 39.4, 34.3
ACC, 21.0, 22.45, 19.55
ACL, 8.38, 8.96, 7.8
ADS, 16.0, 17.1, 14.9
AGF, 6.4, 6.84, 5.96
AGM, 9.1, 9.73, 8.47
AGR, 5.54, 5.92, 5.16
AMD, 4.82, 5.15, 4.49
ANV, 21.5, 23.0, 20.0
APC, 47.0, 50.2, 43.75
APG, 6.15, 6.04, 5.26
ASM, 11.0, 11.75, 10.25
ASP, 7.6, 8.13, 7.07
AST, 82.0, 87.7, 76.3
ATG, 2.44, 2.61, 2.27
BBC, 81.4, 87.0, 75.8
BCE, 5.8, 6.2, 5.4
BCG, 6.2, 6.63, 5.77
BFC, 34.9, 37.3, 32.5
BHN, 135.0, 144.4, 125.6
BIC, 34.75, 37.15, 32.35
BID, 42.5, 45.45, 39.55
BMC, 14.5, 15.5, 13.5
BMI, 31.6, 33.8, 29.4
BMP, 76.0, 81.3, 70.7
BRC, 10.15, 10.85, 9.44
BSI, 15.2, 16.25, 14.15
BTP, 11.0, 11.75, 10.25
BTT, 36.3, 38.8, 33.8
BVH, 86.1, 92.1, 80.1
BWE, 27.4, 29.3, 25.5
C32, 35.7, 38.15, 33.25
C47, 11.9, 12.7, 11.1
CAV, 52.1, 55.7, 48.5
CCI, 14.05, 15.0, 13.1
CCL, 4.69, 5.01, 4.37
CDC, 17.2, 18.4, 16.0
CDO, 1.38, 1.47, 1.29
CEE, 19.5, 20.85, 18.15
CHP, 24.8, 26.5, 23.1
CIG, 2.45, 2.62, 2.28
CII, 32.25, 34.5, 30.0
CLC, 35.3, 37.75, 32.85
CLG, 4.0, 4.28, 3.72
CLL, 27.8, 29.7, 25.9
CLW, 19.6, 20.95, 18.25
CMG, 28.6, 30.6, 26.6
CMT, 9.35, 10.0, 8.7
CMV, 23.0, 24.6, 21.4
CMX, 5.1, 5.45, 4.75
CNG, 29.8, 31.85, 27.75
COM, 59.5, 63.6, 55.4
CSM, 14.7, 15.7, 13.7
CSV, 42.75, 45.7, 39.8
CTD, 166.0, 177.6, 154.4
CTF, 20.9, 22.35, 19.45
CTG, 36.0, 38.5, 33.5
CTI, 35.0, 37.45, 32.55
CTS, 14.45, 15.45, 13.45
CVT, 48.5, 51.8, 45.15
D2D, 69.0, 73.8, 64.2
DAG, 8.85, 9.46, 8.24
DAH, 4.53, 4.84, 4.22
DAT, 22.45, 24.0, 20.9
DCL, 20.0, 21.4, 18.6
DCM, 12.9, 13.8, 12.0
DGW, 24.8, 26.5, 23.1
DHA, 30.4, 32.5, 28.3
DHC, 42.45, 45.4, 39.5
DHG, 112.1, 119.9, 104.3
DHM, 3.13, 3.34, 2.92
DIC, 5.9, 6.31, 5.49
DIG, 27.9, 29.85, 25.95
DLG, 3.36, 3.59, 3.13
DMC, 103.0, 110.2, 95.8
DPM, 22.5, 24.05, 20.95
DPR, 39.8, 42.55, 37.05
DQC, 36.9, 39.45, 34.35
DRC, 28.1, 30.05, 26.15
DRH, 18.4, 19.65, 17.15
DRL, 54.5, 58.3, 50.7
DSN, 58.7, 62.8, 54.6
DTA, 7.6, 8.13, 7.07
DTL, 54.5, 58.3, 50.7
DTT, 10.15, 10.85, 9.44
DVP, 61.1, 65.3, 56.9
DXG, 38.4, 41.05, 35.75
DXV, 4.3, 4.6, 4.0
E1VFVN30, 18.65, 19.95, 17.35
EIB, 14.5, 15.5, 13.5
ELC, 13.2, 14.1, 12.3
EMC, 17.35, 18.55, 16.15
EVE, 17.25, 18.45, 16.05
EVG, 5.26, 5.62, 4.9
FCM, 5.72, 6.12, 5.32
FCN, 20.85, 22.3, 19.4
FDC, 17.5, 18.7, 16.3
FIT, 7.2, 7.7, 6.7
FLC, 6.03, 6.45, 5.61
FMC, 30.55, 32.65, 28.45
FPT, 61.3, 65.5, 57.1
FTM, 14.45, 15.45, 13.45
FTS, 16.1, 17.2, 15.0
FUCTVGF1, 13.5, 14.4, 12.6
FUCVREIT, 11.9, 12.7, 11.1
FUESSV50, 15.19, 16.25, 14.13
GAS, 126.0, 134.8, 117.2
GDT, 48.3, 51.6, 44.95
GEX, 35.0, 37.45, 32.55
GIL, 44.2, 47.25, 41.15
GMC, 27.4, 29.3, 25.5
GMD, 30.3, 32.4, 28.2
GSP, 13.55, 14.45, 12.65
GTA, 13.75, 14.7, 12.8
GTN, 11.3, 12.05, 10.55
HAG, 6.94, 7.42, 6.46
HAH, 17.35, 18.55, 16.15
HAI, 4.87, 5.21, 4.53
HAP, 3.84, 4.1, 3.58
HAR, 10.65, 11.35, 9.91
HAS, 9.45, 10.1, 8.79
HAX, 37.85, 40.45, 35.25
HBC, 44.85, 47.95, 41.75
HCD, 8.12, 8.68, 7.56
HCM, 79.0, 84.5, 73.5
HDB, 44.0, 47.05, 40.95
HDC, 14.4, 15.4, 13.4
HDG, 49.6, 53.0, 46.15
HHS, 4.09, 4.37, 3.81
HID, 3.51, 3.75, 3.27
HII, 25.3, 27.05, 23.55
HLG, 8.1, 8.66, 7.54
HMC, 15.8, 16.9, 14.7
HNG, 8.45, 9.04, 7.86
HOT, 23.45, 25.05, 21.85
HPG, 61.5, 65.8, 57.2
HQC, 2.32, 2.48, 2.16
HRC, 24.7, 26.4, 23.0
HSG, 23.4, 25.0, 21.8
HT1, 15.0, 16.05, 13.95
HTI, 15.95, 17.05, 14.85
HTL, 33.3, 35.6, 31.0
HTT, 3.12, 3.33, 2.91
HTV, 16.15, 17.25, 15.05
HU1, 8.0, 8.56, 7.44
HU3, 11.6, 12.4, 10.8
HVG, 4.95, 5.29, 4.61
HVX, 4.05, 4.33, 3.77
IBC, 28.4, 30.35, 26.45
ICF, 1.82, 1.94, 1.7
IDI, 15.0, 16.05, 13.95
IJC, 9.65, 10.3, 8.98
IMP, 63.4, 67.8, 59.0
ITA, 3.08, 3.29, 2.87
ITC, 14.5, 15.5, 13.5
ITD, 10.35, 11.05, 9.63
JVC, 4.75, 5.08, 4.42
KAC, 15.55, 16.6, 14.5
KBC, 13.35, 14.25, 12.45
KDC, 39.0, 41.7, 36.3
KDH, 36.4, 38.9, 33.9
KHA, 29.6, 31.65, 27.55
KHP, 10.0, 10.7, 9.3
KMR, 4.15, 4.44, 3.86
KPF, 30.0, 32.1, 27.9
KSA, 0.82, 0.87, 0.77
KSB, 40.55, 43.35, 37.75
KSH, 1.84, 1.96, 1.72
L10, 16.5, 17.65, 15.35
LAF, 11.2, 11.95, 10.45
LBM, 34.4, 36.8, 32.0
LCG, 10.2, 10.9, 9.49
LCM, 0.86, 0.92, 0.8
LDG, 26.1, 27.9, 24.3
LEC, 19.0, 20.3, 17.7
LGC, 18.55, 19.8, 17.3
LGL, 9.57, 10.2, 8.91
LHG, 22.2, 23.75, 20.65
LIX, 47.9, 51.2, 44.55
LM8, 24.25, 25.9, 22.6
LSS, 9.45, 10.1, 8.79
MBB, 36.4, 38.9, 33.9
MCG, 3.5, 3.74, 3.26
MCP, 28.75, 30.75, 26.75
MDG, 13.1, 14.0, 12.2
MHC, 6.41, 6.85, 5.97
MSN, 100.5, 107.5, 93.5
MWG, 120.0, 128.4, 111.6
NAF, 15.2, 16.25, 14.15
NAV, 5.0, 5.35, 4.65
NBB, 25.0, 26.75, 23.25
NCT, 99.2, 106.1, 92.3
NKG, 31.0, 33.15, 28.85
NLG, 34.9, 37.3, 32.5
NNC, 48.9, 52.3, 45.5
NSC, 112.0, 119.8, 104.2
NT2, 30.5, 32.6, 28.4
NTL, 9.89, 10.55, 9.2
NVL, 83.0, 88.8, 77.2
NVT, 5.78, 6.18, 5.38
OGC, 2.08, 2.22, 1.94
OPC, 60.0, 64.2, 55.8
PAC, 46.1, 49.3, 42.9
PAN, 67.4, 72.1, 62.7
PC1, 31.8, 34.0, 29.6
